,exp1,exp2,exp3_fact1,exp4_fact2,exp3_fact1,exp4_fact0.5,exp4_fact0.1,exp4_fact0.05
Fid,0.27,0.25,0.28,0.24,0.28,0.31,0.25,0.22
R,-,-,0.66,0.60,0.66,0.71,0.81,0.95
